,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,boolean.0,equals.0,Object.0,obj.0,if.0,obj.1,==.0,nan.0,||.0,obj.2,getClass.0,!=.0,getClass.1,return.0,FALSE.0,CSSConditionalSelectorImpl.0,s.0,=.0,CSSConditionalSelectorImpl.1,obj.3,return.1,s.1,simpleSelector.0,equals.1,simpleSelector.1,&&.0,s.2,condition.0,equals.2,condition.1,code,participant_summary
0,136,equals,10222579,1211598419301,20112810958,1,1,"(0.11005786806344986, 0.20343470573425293)","(0.11494336277246475, 0.18382535874843597)",1,1,2.45941162109375,2.4674072265625,Fixation,POINT (0.1125006154179573 0.1936300322413444),,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598427634,20112819291,1,1,"(0.11318547278642654, 0.20311987400054932)","(0.11286009848117828, 0.19625434279441833)",1,1,2.4747314453125,2.4753570556640625,Fixation,POINT (0.1130227856338024 0.1996871083974838),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598435967,20112827624,1,1,"(0.1028081476688385, 0.20021292567253113)","(0.11334256827831268, 0.20232711732387543)",1,1,2.5016326904296875,2.4743804931640625,Fixation,POINT (0.1080753579735756 0.2012700214982033),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598444301,20112835958,1,1,"(0.10627810657024384, 0.23632976412773132)","(0.1213029995560646, 0.21410062909126282)",1,1,2.4713287353515625,2.469100952148437,Fixation,POINT (0.1137905530631542 0.2252151966094971),,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598477634,20112869291,1,1,"(0.16016797721385956, 0.3056923747062683)","(0.1691071093082428, 0.29256144165992737)",1,1,2.4932861328125,2.468658447265625,Fixation,POINT (0.1646375432610512 0.2991269081830978),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598485969,20112877626,1,1,"(0.16275818645954132, 0.2877656817436218)","(0.18050074577331543, 0.2874598503112793)",1,1,2.4883270263671875,2.449554443359375,Fixation,POINT (0.1716294661164284 0.2876127660274506),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598494311,20112885968,1,1,"(0.16712449491024017, 0.2775159776210785)","(0.1726318597793579, 0.30367547273635864)",1,1,2.4944610595703125,2.4384307861328125,Fixation,POINT (0.169878177344799 0.2905957251787186),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598502644,20112894301,1,1,"(0.1728387027978897, 0.2760750651359558)","(0.17585982382297516, 0.31194642186164856)",1,1,2.479522705078125,2.457427978515625,Fixation,POINT (0.1743492633104324 0.2940107434988022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598510977,20112902634,1,1,"(0.16564828157424927, 0.2883056104183197)","(0.1745377629995346, 0.29816949367523193)",1,1,2.4684600830078125,2.4593505859375,Fixation,POINT (0.1700930222868919 0.2932375520467758),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598519309,20112910965,1,1,"(0.16518421471118927, 0.3016842007637024)","(0.17767614126205444, 0.28378647565841675)",1,1,2.4997100830078125,2.4513397216796875,Fixation,POINT (0.1714301779866219 0.2927353382110596),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
