,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,testValidateSeparationCount.0,try.0,LinearDimension.0,validateSeparationCount.0,0.0,fail.0,catch.0,IllegalArgumentException.0,ex.0,// ok.200,try.1,LinearDimension.1,validateSeparationCount.1,-.0,2.0,fail.1,catch.1,IllegalArgumentException.1,ex.1,// ok.201,LinearDimension.2,validateSeparationCount.2,1.0,LinearDimension.3,validateSeparationCount.3,2988.0,code,participant_summary
0,136,testValidateSeparationCount,26285656,1212217935229,20732324373,1,1,"(0.15359647572040558, 0.2628869414329529)","(0.17849910259246826, 0.23195195198059082)",1,1,2.377059936523437,2.340789794921875,Fixation,POINT (0.1660477891564369 0.2474194467067718),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217943562,20732332706,1,1,"(0.16039814054965973, 0.25961536169052124)","(0.17736715078353882, 0.2435610443353653)",1,1,2.380462646484375,2.3317108154296875,Fixation,POINT (0.1688826456665993 0.2515882030129433),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217951895,20732341039,1,1,"(0.1599990576505661, 0.24614737927913666)","(0.17633938789367676, 0.2321774661540985)",1,1,2.3836669921875,2.3411865234375,Fixation,POINT (0.1681692227721214 0.2391624227166176),,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217960229,20732349373,1,1,"(0.15661290287971497, 0.2660656273365021)","(0.1716930866241455, 0.24732910096645355)",1,1,2.396148681640625,2.336700439453125,Fixation,POINT (0.1641529947519302 0.2566973641514778),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217968566,20732357710,1,1,"(0.1601865142583847, 0.2515319585800171)","(0.17690061032772064, 0.2403007596731186)",1,1,2.40216064453125,2.3542633056640625,Fixation,POINT (0.1685435622930527 0.2459163591265678),,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217976899,20732366043,1,1,"(0.1555442065000534, 0.25520336627960205)","(0.1732683628797531, 0.24431756138801575)",1,1,2.388153076171875,2.3507843017578125,Fixation,POINT (0.1644062846899033 0.2497604638338089),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217985233,20732374377,1,1,"(0.16081640124320984, 0.26987966895103455)","(0.1782870590686798, 0.2463899850845337)",1,1,2.4062042236328125,2.3454132080078125,Fixation,POINT (0.1695517301559448 0.2581348270177841),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217993566,20732382710,1,1,"(0.1565203070640564, 0.253810852766037)","(0.1772300750017166, 0.24705086648464203)",1,1,2.39190673828125,2.3580322265625,Fixation,POINT (0.1668751910328865 0.2504308596253395),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212218001899,20732391043,1,1,"(0.15673783421516418, 0.2557644844055176)","(0.17349638044834137, 0.23710523545742035)",1,1,2.385009765625,2.34552001953125,Fixation,POINT (0.1651171073317528 0.246434859931469),,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212218010233,20732399377,1,1,"(0.15065598487854004, 0.25930923223495483)","(0.16621139645576477, 0.24682967364788055)",1,1,2.3820037841796875,2.346527099609375,Fixation,POINT (0.1584336906671524 0.2530694529414177),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
